Date,Price,Open,High,Low,Volume,Change %
11/08/2021,"1,188.50","1,203.75","1,208.25","1,187.00",108.73K,-1.41%
11/05/2021,"1,205.50","1,223.00","1,227.00","1,203.50",92.05K,-1.41%
11/04/2021,"1,222.75","1,243.75","1,247.50","1,216.00",107.99K,-1.73%
11/03/2021,"1,244.25","1,254.25","1,257.75","1,239.50",78.35K,-0.96%
11/02/2021,"1,256.25","1,247.75","1,261.00","1,243.25",87.43K,0.62%
11/01/2021,"1,248.50","1,249.00","1,259.50","1,236.75",85.98K,-0.08%
10/29/2021,"1,249.50","1,244.00","1,255.50","1,241.50",87.77K,0.28%
10/28/2021,"1,246.00","1,249.75","1,260.00","1,241.25",131.18K,-0.30%
10/27/2021,"1,249.75","1,246.50","1,266.25","1,236.00",167.19K,0.18%
10/26/2021,"1,247.50","1,246.25","1,255.75","1,239.50",86.77K,0.04%
10/25/2021,"1,247.00","1,230.00","1,248.25","1,226.50",99.04K,1.32%
10/22/2021,"1,230.75","1,233.50","1,240.50","1,227.00",76.62K,-0.22%
10/21/2021,"1,233.50","1,253.00","1,258.75","1,231.50",63.99K,-1.71%
10/20/2021,"1,255.00","1,237.00","1,258.75","1,234.00",73.67K,1.46%
10/19/2021,"1,237.00","1,228.25","1,247.25","1,224.75",88.10K,0.65%
10/18/2021,"1,229.00","1,226.75","1,233.00","1,218.25",49.53K,0.22%
10/15/2021,"1,226.25","1,214.75","1,229.00","1,211.50",69.99K,0.88%
10/14/2021,"1,215.50","1,206.00","1,216.75","1,203.50",76.47K,0.79%
10/13/2021,"1,206.00","1,210.00","1,222.00","1,195.75",116.24K,-0.33%
10/12/2021,"1,210.00","1,238.00","1,241.75","1,206.25",90.88K,-2.40%
10/11/2021,"1,239.75","1,252.00","1,262.75","1,238.50",58.97K,-1.16%
10/08/2021,"1,254.25","1,256.75","1,273.75","1,253.25",75.70K,-0.32%
10/07/2021,"1,258.25","1,252.50","1,260.50","1,244.75",69.22K,0.46%
10/06/2021,"1,252.50","1,260.00","1,266.00","1,250.00",31.52K,-0.67%
10/05/2021,"1,261.00","1,244.75","1,266.75","1,241.50",44.30K,1.18%
10/04/2021,"1,246.25","1,253.00","1,257.50","1,245.25",42.98K,-0.82%
10/01/2021,"1,256.50","1,264.50","1,272.00","1,252.00",42.01K,-0.71%
09/30/2021,"1,265.50","1,291.75","1,304.25","1,259.25",63.54K,-2.16%
09/29/2021,"1,293.50","1,286.00","1,298.00","1,282.75",22.00K,0.51%
09/28/2021,"1,287.00","1,296.75","1,296.75","1,284.75",25.10K,-0.81%
09/27/2021,"1,297.50","1,293.25","1,306.75","1,291.75",29.97K,0.21%
09/24/2021,"1,294.75","1,292.75","1,299.75","1,288.00",19.55K,0.06%
09/23/2021,"1,294.00","1,291.00","1,299.75","1,285.25",23.36K,0.17%
09/22/2021,"1,291.75","1,283.00","1,293.50","1,279.00",17.22K,0.70%
